"TLC"	"Organism"	"Ensdb_ID"
"ebv"	"Epstein Barr virus"	""
"oar"	"Ovis aries"	""
"hcmv"	"Human cytomegalovirus"	""
"cel"	"Caenorhabditis elegans"	""
"cfa"	"Canis familiaris"	""
"gga"	"Gallus gallus"	""
"cgr"	"Cricetulus griseus"	""
"tgu"	"Taeniopygia guttata"	""
"xla"	"Yenips laevis"	""
"ola"	"Oryzias latipes"	""
"dme"	"Drosophila melanogaster"	"dmelanogaster_gene_ensembl"
"bmo"	"Bombyx mori"	""
"mmu"	"Mus musculus"	"mmusculus_gene_ensembl"
"rno"	"Rattus norvegicus"	"rnorvegicus_gene_ensembl"
"dre"	"Dano rerio"	""
"hsa"	"Homo sapiens"	"hsapiens_gene_ensembl"
"kshv"	"Kaposi sarcoma-associated herpesvirus"	"Herpes"
"osa"	"Oryza sativa"	""
"ssc"	"Sus scrofa"	""
"bta"	"Bos taurus"	"btaurus_gene_ensembl"
"ath"	"Arabidopsis thaliana"	""
"xtr"	"Xenopus tropicalis"	""
