# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr14	99472960	99473012	+	mmu_circ_0000562	52	52	mm_ES	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, UTR3	NM_175265	6720463M24Rik	Memczak2013
chr17	91100083	91103707	-	mmu_circ_0000835	3624	3624	mm_head, mm_brain1	None	INTERGENIC	None	None	Memczak2013
chr17	39981106	39981238	-	mmu_circ_0000759	132	132	mm_ES	None	INTERGENIC	None	None	Memczak2013
chr5	102210393	102227535	+	mmu_circ_0001370	17142	463	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_173370	Cds1	Memczak2013
chr2	84878539	84878620	+	mmu_circ_0001041	81	81	mm_ES, mm_head	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	NM_001136081	Ssrp1	Memczak2013
chr9	49200458	49200534	+	mmu_circ_0001772	76	76	mm_head	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	NM_010077	Drd2	Memczak2013
chr9	79973949	79980788	+	mmu_circ_0001820	6839	440	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_146003	Senp6	Memczak2013
chr18	23741584	23756059	+	mmu_circ_0000854	14475	639	mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_010087	Dtna	Memczak2013
chr7	140217395	140217555	-	mmu_circ_0001642	160	160	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_009980	Ctbp2	Memczak2013
chr12	53617065	53620954	+	mmu_circ_0000377	3889	3889	mm_ES, mm_head, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-ins, C2C12-shMbnl12-mem	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_009706	Arhgap5	Memczak2013, Wang2012
chr1	94044832	94045071	-	mmu_circ_0000064	239	239	mm_head, mm_brain1, C2C12-control-cyto, C2C12-control-ins	None	ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	NM_207225	Hdac4	Memczak2013, Wang2012
chr19	45012854	45022542	+	mmu_circ_0000954	9688	1217	mm_ES, mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_001081225	Fam178a	Memczak2013
chr9	59190294	59193658	-	mmu_circ_0001780	3364	196	mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_175325	Bbs4	Memczak2013
chr1	130090036	130120218	+	mmu_circ_0000075	30182	1005	mm_ES, mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_181750	R3hdm1	Memczak2013
