chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
JH128228	396513	399150	+	lme_circ_0000524	2637	177	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000010065	GNPTG	Nitsche2013
JH128981	213809	216698	+	lme_circ_0000109	2889	124	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000007069	FGG	Nitsche2013
JH126734	2032749	2032911	*	lme_circ_0000590	162	162	testis	None	INTERGENIC	None	None	Nitsche2013
JH126569	1273356	1277099	*	lme_circ_0000765	3743	3743	testis	None	INTERGENIC	None	None	Nitsche2013
JH126803	1075787	1084500	+	lme_circ_0001121	8713	207	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000016560	PICALM	Nitsche2013
JH127397	394125	398228	-	lme_circ_0000597	4103	184	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	ENSLACT00000009436	OXNAD1	Nitsche2013
JH126564	7868856	7873103	-	lme_circ_0001040	4247	168	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000021884	PSMC6	Nitsche2013
JH126643	1844691	1844833	+	lme_circ_0000793	142	142	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	ENSLACT00000025573	DRC1	Nitsche2013
JH129377	53109	53232	*	lme_circ_0000340	123	123	liver	None	INTERGENIC	None	None	Nitsche2013
JH127214	908243	910904	+	lme_circ_0000483	2661	286	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000015427	LACH-UA-01	Nitsche2013
JH128895	167126	167294	+	lme_circ_0000518	168	168	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	ENSLACT00000005931	ANGPTL3	Nitsche2013
JH128109	185270	185450	+	lme_circ_0000032	180	180	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	ENSLACT00000006539	fahd2a	Nitsche2013
JH128730	153216	220774	-	lme_circ_0000908	67558	62110	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVEXON, upstream_start	ENSLACT00000006345	ENSLACG00000005582	Nitsche2013
JH127404	39491	39656	*	lme_circ_0000754	165	165	testis	None	INTERGENIC	None	None	Nitsche2013
JH127004	463488	463657	+	lme_circ_0000823	169	169	testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000009663	si:dkey-266h18.3 (1 	Nitsche2013
JH129207	7085	9799	-	lme_circ_0000130	2714	168	liver, testis	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000000022	ATP5A1	Nitsche2013
JH126570	2947171	2949097	-	lme_circ_0000791	1926	197	testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000020925	cox6a1 (4 of 4)	Nitsche2013
JH130261	105258	105405	-	lme_circ_0000462	147	147	liver	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000026093	hp	Nitsche2013
JH127475	191202	193641	*	lme_circ_0000347	2439	2439	liver, testis	None	INTERGENIC	None	None	Nitsche2013
JH127062	782172	782298	+	lme_circ_0001073	126	126	testis	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000014326	ZFR2	Nitsche2013
JH126764	848042	849461	-	lme_circ_0000203	1419	174	liver, testis	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000015267	TRA2B	Nitsche2013
JH127214	911026	912624	+	lme_circ_0000485	1598	173	liver	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	ENSLACT00000015427	LACH-UA-01	Nitsche2013
