chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chrIII	1947632	1948044	-	cel_circ_0000338	412	412	1cell, 2cell, fem1, spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	F53A3.2	polh-1	Memczak2013
chrII	12675765	12676099	-	cel_circ_0000264	334	334	2cell, fem1, spe9, sperm_act	None	ANNOTATED, CDS, coding	Y38E10A.22	Y38E10A.22	Memczak2013
chrIV	1610868	1611308	-	cel_circ_0000477	440	440	fem1	None	ANTISENSE, CDS, coding, INTERNAL, intronic	Y41D4B.10	dsl-3	Memczak2013
chrIII	2487756	2489131	+	cel_circ_0000353	1375	368	1cell, 2cell, fem1, spe9, sperm_act	None	ANNOTATED, CDS, coding, UTR5	Y54F10AL.1a	Y54F10AL.1	Memczak2013
chrIII	2356442	2358852	+	cel_circ_0000349	2410	540	spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	H04J21.3b	gip-1	Memczak2013
chrIII	4320983	4322230	+	cel_circ_0000377	1247	1132	sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end	H38K22.6	H38K22.6	Memczak2013
chrII	2526102	2526874	-	cel_circ_0000205	772	623	spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	K02F6.7	K02F6.7	Memczak2013
chrI	6087435	6087557	-	cel_circ_0000067	122	122	sperm, sperm_act	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	ZK484.5	ZK484.5	Memczak2013
chrIII	12630252	12630558	+	cel_circ_0000450	306	306	spe9	None	ANNOTATED, CDS, coding, INTERNAL	Y111B2A.14.2	Y111B2A.14.2	Memczak2013
chrIV	9326624	9326753	-	cel_circ_0000545	129	129	sperm, sperm_act	None	ANTISENSE, CDS, coding, INTERNAL	F49C12.15	F49C12.15	Memczak2013
chrIII	2235141	2235285	+	cel_circ_0000346	144	144	fem1	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, intronic	C39B5.2	C39B5.2	Memczak2013
chrI	1748287	1748696	-	cel_circ_0000030	409	409	fem1, spe9, sperm	None	ANNOTATED, CDS, coding, INTERNAL	Y71G12B.24	mppa-1	Memczak2013
chrII	310619	318537	-	cel_circ_0000177	6160	6160	fem1, sperm, sperm_act	None	ALT_ACCEPTOR, CDS, coding, upstream_start, UTR5	K01A2.8a	mps-2	Memczak2013
chrIII	6762398	6767917	+	cel_circ_0000394	5519	5025	sperm, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	K07E12.1a.2	dig-1	Memczak2013
chrIV	6325439	6325547	-	cel_circ_0000528	108	108	spe9, sperm	None	ANTISENSE, coding, INTERNAL, UTR3	Y73B6BL.6b.1	sqd-1	Memczak2013
chrII	5495409	5519889	+	cel_circ_0000228	24480	24437	sperm, sperm_act	None	ALT_DONOR, CDS, coding, downstream_end	F12A10.2	F12A10.2	Memczak2013
chrIV	10547226	10558791	+	cel_circ_0000554	8493	2148	1cell, 2cell, fem1	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	T07G12.6	zim-1	Memczak2013
chrIV	12363006	12364103	+	cel_circ_0000560	1097	563	fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	ZC518.3b	ccr-4	Memczak2013
chrIII	12677141	12678795	+	cel_circ_0000454	1654	641	1cell, spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	Y111B2A.17	elpc-2	Memczak2013
chrV	18678069	18679635	+	cel_circ_0000663	1566	882	fem1	None	ANNOTATED, CDS, coding, INTERNAL	Y69H2.10b	Y69H2.10	Memczak2013
chrI	12672345	12672777	+	cel_circ_0000127	432	313	fem1, spe9, sperm_act	None	ANNOTATED, CDS, coding, INTERNAL	T26E3.3a	par-6	Memczak2013
chrI	12878627	12879582	+	cel_circ_0000132	955	260	1cell, 2cell, fem1, spe9, sperm_act	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, UTR5	Y18D10A.13	pad-1	Memczak2013
chrIII	1219376	1219657	-	cel_circ_0000319	281	233	sperm, sperm_act	None	ALT_ACCEPTOR, CDS, coding, INTERNAL	Y119D3B.17	pes-4	Memczak2013
chrIII	1515549	1515894	-	cel_circ_0000325	345	226	1cell, 2cell, spe9	None	ANNOTATED, CDS, coding, INTERNAL	M01G5.3	M01G5.3	Memczak2013
chrI	7726219	7726902	-	cel_circ_0000084	683	683	2cell	None	ANTISENSE, CDS, coding, INTERNAL, UTR3	F27D4.4a.1	F27D4.4	Memczak2013
chrIII	5941356	5942549	+	cel_circ_0000387	1193	1140	1cell, 2cell, fem1, spe9	None	ANNOTATED, CDS, coding, INTERNAL	F25B5.4c	ubq-1	Memczak2013
chrI	4209292	4209396	-	cel_circ_0000052	104	104	1cell	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL	C18E3.8	hop-1	Memczak2013
